date,rolling_return_annual,rolling_volatility_annual,rolling_sharpe,rolling_max_drawdown
2024-09-13,0.3251981199834554,0.14283454897034048,2.276746923820109,-5.022491656652974
2024-09-16,0.3012196952655203,0.141781108765917,2.12454041224095,-5.022491656652974
2024-09-17,0.3253690653077434,0.14108157911425737,2.306247685562391,-5.022491656652974
2024-09-18,0.3434697196639416,0.14056632069705044,2.4434709392742096,-5.022491656652974
2024-09-19,0.3693018679858295,0.14219280932330294,2.597190882881778,-5.022491656652974
2024-09-20,0.3408260731644574,0.14305556603497457,2.382473346623447,-5.022491656652974
2024-09-23,0.39352422496174183,0.1422720156055217,2.765998803678078,-5.022491656652974
2024-09-24,0.3801340930103547,0.1421407531121711,2.674349788412687,-5.022491656652974
2024-09-25,0.33011756024534916,0.14323678467226425,2.3046982030536443,-5.022491656652974
2024-09-26,0.3275595827790087,0.14326285943330425,2.286423599771185,-5.022491656652974
2024-09-27,0.36203760268548607,0.14268650214705797,2.5372939783214865,-5.022491656652974
2024-09-30,0.3534481100835657,0.14260147251186517,2.478572653267357,-5.022491656652974
2024-10-01,0.3559382570842247,0.14253545738012563,2.49719097006844,-5.022491656652974
2024-10-02,0.2998300709679231,0.1413948057717337,2.1205168699900168,-5.022491656652974
2024-10-03,0.211229736206654,0.1374091891323951,1.5372315166137256,-5.022491656652974
2024-10-04,0.20656472587136293,0.1372462370139108,1.5050665895519324,-5.022491656652974
2024-10-07,0.15705657516320026,0.13782603831796109,1.139527603636657,-5.022491656652974
2024-10-08,0.07947668571995924,0.13256894897163857,0.5995120753123135,-5.022491656652974
2024-10-09,0.11866694370551123,0.13245390633279291,0.8959112418123654,-5.022491656652974
2024-10-10,0.13113464141191494,0.13180155451617018,0.994940020952686,-5.022491656652974
2024-10-11,0.20280169042999802,0.1330973208622358,1.5237097870655913,-5.022491656652974
2024-10-14,0.17135305403753565,0.13115560733712311,1.3064866803375688,-5.022491656652974
2024-10-15,0.1597338702275633,0.131328695457389,1.2162906946668837,-5.022491656652974
2024-10-16,0.25673821724183843,0.12933023894429996,1.9851368043355324,-5.022491656652974
2024-10-17,0.2537020562132213,0.1293147597519211,1.961895584849913,-5.022491656652974
2024-10-18,0.18697296076281425,0.12586643314465726,1.4854870841372596,-5.022491656652974
2024-10-21,0.15635817609239036,0.12768179720193248,1.2245925380037168,-5.022491656652974
2024-10-22,0.1188433620461156,0.12820864869090492,0.9269527700321695,-5.022491656652974
2024-10-23,0.08813821975099634,0.1277467018203862,0.6899451687991133,-5.022491656652974
2024-10-24,0.11935250061262268,0.12653885933966544,0.9432082858614003,-5.022491656652974
2024-10-25,0.12453412182064966,0.1259010702608974,0.9891426781566266,-5.022491656652974
2024-10-28,0.2723782129230574,0.11249534453284647,2.4212398660064394,-4.242442500312866
2024-10-29,0.2150546930963043,0.11042658666717109,1.947490179556897,-4.242442500312866
2024-10-30,0.21589158082166304,0.11039383996736282,1.95564880146836,-3.868294241181124
2024-10-31,0.10832655113429557,0.10921004383602724,0.9919101515694089,-4.069499287708929
