date,equity,equity_normalized,equity_change_pct
2021-01-04,100000.0,100.0,0.0
2021-01-05,100000.0,100.0,0.0
2021-01-06,100000.0,100.0,0.0
2021-01-07,100000.0,100.0,0.0
2021-01-08,100000.0,100.0,0.0
2021-01-11,100000.0,100.0,0.0
2021-01-12,100000.0,100.0,0.0
2021-01-13,100000.0,100.0,0.0
2021-01-14,100000.0,100.0,0.0
2021-01-15,100000.0,100.0,0.0
2021-01-18,100000.0,100.0,0.0
2021-01-19,100000.0,100.0,0.0
2021-01-20,100000.0,100.0,0.0
2021-01-21,100000.0,100.0,0.0
2021-01-22,100000.0,100.0,0.0
2021-01-25,100000.0,100.0,0.0
2021-01-26,100000.0,100.0,0.0
2021-01-27,100000.0,100.0,0.0
2021-01-28,100000.0,100.0,0.0
2021-01-29,100000.0,100.0,0.0
2021-02-01,100000.0,100.0,0.0
2021-02-02,100000.0,100.0,0.0
2021-02-03,100000.0,100.0,0.0
2021-02-04,100000.0,100.0,0.0
2021-02-05,100000.0,100.0,0.0
2021-02-08,100000.0,100.0,0.0
2021-02-09,100000.0,100.0,0.0
2021-02-10,100000.0,100.0,0.0
2021-02-11,100000.0,100.0,0.0
2021-02-12,100000.0,100.0,0.0
2021-02-15,100000.0,100.0,0.0
2021-02-16,100000.0,100.0,0.0
2021-02-17,100000.0,100.0,0.0
2021-02-18,100000.0,100.0,0.0
2021-02-19,100000.0,100.0,0.0
2021-02-22,100000.0,100.0,0.0
2021-02-23,100000.0,100.0,0.0
2021-02-24,100000.0,100.0,0.0
2021-02-25,100000.0,100.0,0.0
2021-02-26,100000.0,100.0,0.0
2021-03-01,100000.0,100.0,0.0
2021-03-02,100000.0,100.0,0.0
2021-03-03,100000.0,100.0,0.0
2021-03-04,100000.0,100.0,0.0
2021-03-05,100000.0,100.0,0.0
2021-03-08,100000.0,100.0,0.0
2021-03-09,100000.0,100.0,0.0
2021-03-10,100000.0,100.0,0.0
2021-03-11,100000.0,100.0,0.0
2021-03-12,100000.0,100.0,0.0
2021-03-15,100000.0,100.0,0.0
2021-03-16,100000.0,100.0,0.0
2021-03-17,100000.0,100.0,0.0
2021-03-18,100000.0,100.0,0.0
2021-03-19,100000.0,100.0,0.0
2021-03-22,100000.0,100.0,0.0
2021-03-23,100000.0,100.0,0.0
2021-03-24,100000.0,100.0,0.0
2021-03-25,100000.0,100.0,0.0
2021-03-26,100000.0,100.0,0.0
2021-03-29,100000.0,100.0,0.0
2021-03-30,100000.0,100.0,0.0
2021-03-31,100000.0,100.0,0.0
2021-04-01,100000.0,100.0,0.0
2021-04-05,100000.0,100.0,0.0
2021-04-06,100000.0,100.0,0.0
2021-04-07,100000.0,100.0,0.0
2021-04-08,100000.0,100.0,0.0
2021-04-09,100000.0,100.0,0.0
2021-04-12,100000.0,100.0,0.0
2021-04-13,100000.0,100.0,0.0
2021-04-14,100000.0,100.0,0.0
2021-04-15,100000.0,100.0,0.0
2021-04-16,100000.0,100.0,0.0
2021-04-19,100000.0,100.0,0.0
