date,drawdown_pct,running_max,underwater
2021-01-04,0.0,100000.0,False
2021-01-05,0.0,100470.44928,False
2021-01-06,0.0,102780.91051,False
2021-01-07,0.0,103574.06671,False
2021-01-08,-0.2821122306784825,103574.06671,True
2021-01-11,-0.32129688499318765,103574.06671,True
2021-01-12,0.0,104460.88632,False
2021-01-13,-0.2998981829814636,104460.88632,True
2021-01-14,0.0,105439.03795,False
2021-01-15,-0.7497898836813172,105439.03795,True
2021-01-18,-0.7491579545467515,105439.03795,True
2021-01-19,-0.04254639540743137,105439.03795,True
2021-01-20,0.0,105652.17894,False
2021-01-21,-0.49444897894313594,105652.17894,True
2021-01-22,-0.009434911896763192,105652.17894,True
2021-01-25,0.0,105900.41177,False
2021-01-26,0.0,106091.87508,False
2021-01-27,0.0,106146.4286,False
2021-01-28,-0.9948704859204336,106146.4286,True
2021-01-29,-1.5332390938304226,106146.4286,True
2021-02-01,-0.6080080493636142,106146.4286,True
2021-02-02,-0.09026933007899994,106146.4286,True
2021-02-03,0.0,106597.97973,False
2021-02-04,0.0,107746.01452,False
2021-02-05,0.0,108528.11233,False
2021-02-08,0.0,110120.76218,False
2021-02-09,0.0,110237.3659,False
2021-02-10,0.0,110330.21226,False
2021-02-11,0.0,110662.19051,False
2021-02-12,0.0,111147.22711,False
2021-02-15,0.0,111155.98871,False
2021-02-16,0.0,111590.40426,False
2021-02-17,-0.3581007817383037,111590.40426,True
2021-02-18,-1.3462045773217821,111590.40426,True
2021-02-19,-0.2805681743660667,111590.40426,True
2021-02-22,-0.06754100632559144,111590.40426,True
2021-02-23,-0.2826207908210322,111590.40426,True
2021-02-24,0.0,112903.139193,False
2021-02-25,-1.7851999345691858,112903.139193,True
2021-02-26,-2.3407781589511782,112903.139193,True
2021-03-01,-0.5527579068755306,112903.139193,True
2021-03-02,-1.3916419598520893,112903.139193,True
2021-03-03,-1.4594795156077975,112903.139193,True
2021-03-04,-2.575891706632287,112903.139193,True
2021-03-05,-1.1853357741561967,112903.139193,True
2021-03-08,-0.49233119466217856,112903.139193,True
2021-03-09,0.0,112932.223859,False
2021-03-10,0.0,114101.204764,False
2021-03-11,0.0,115080.018454,False
2021-03-12,0.0,115691.555359,False
2021-03-15,0.0,116251.026534,False
2021-03-16,-0.845294643237068,116251.026534,True
2021-03-17,-0.41837451633836764,116251.026534,True
2021-03-18,-1.7062130968967286,116251.026534,True
2021-03-19,-1.4507478731869576,116251.026534,True
2021-03-22,-1.9844111349204292,116251.026534,True
2021-03-23,-3.881684493065727,116251.026534,True
2021-03-24,-4.443268015779025,116251.026534,True
2021-03-25,-3.2766790527100667,116251.026534,True
2021-03-26,-1.982130737852946,116251.026534,True
2021-03-29,-3.105865408374702,116251.026534,True
2021-03-30,-2.467581147905845,116251.026534,True
2021-03-31,-2.272488496458442,116251.026534,True
