date,rolling_return_annual,rolling_volatility_annual,rolling_sharpe,rolling_max_drawdown
2024-10-04,0.06706633709950975,0.0908182885582295,0.7384673083385531,-3.8476724308302046
2024-10-07,0.036275620631369465,0.09122381110645947,0.3976551756759571,-3.8476724308302046
2024-10-08,-0.02603241535705909,0.08690797584790703,-0.29954000312488027,-3.8476724308302046
2024-10-09,-0.01451119613040306,0.08699397482452832,-0.16680691001500908,-3.8476724308302046
2024-10-10,0.008191650331263277,0.08573911998715977,0.09554157230083599,-3.8476724308302046
2024-10-11,0.05420149376765353,0.08637453997631253,0.6275170181226761,-3.8476724308302046
2024-10-14,0.03558362614683561,0.0854224153557777,0.41656075865605746,-3.8476724308302046
2024-10-15,0.027710827053755296,0.08539382450857531,0.3245062182567143,-3.8476724308302046
2024-10-16,0.08650630185048319,0.08476153392552593,1.020584430745322,-3.8476724308302046
2024-10-17,0.06597133142742823,0.08434434927902591,0.7821665824841861,-3.8476724308302046
2024-10-18,0.037879263189738555,0.08290451079666851,0.4569023184111319,-3.8476724308302046
2024-10-21,0.0171176599217151,0.08404450700695905,0.20367375015118744,-3.8476724308302046
2024-10-22,-0.00192770976416754,0.08399000653959013,-0.02295165631709864,-3.8476724308302046
2024-10-23,-0.018964641067799246,0.08404288142703503,-0.2256543415192649,-3.8476724308302046
2024-10-24,0.024384554156406568,0.08147012924435137,0.2993066831067687,-3.8476724308302046
2024-10-25,0.07166098517929985,0.07644182459782302,0.9374578060678667,-3.8476724308302046
2024-10-28,0.16115370633798176,0.07009884802475481,2.2989494246905697,-3.641176517105553
2024-10-29,0.1304015426534524,0.0693706594448882,1.879779487422207,-3.641176517105553
2024-10-30,0.14517595410781073,0.06883101745136902,2.1091647266493116,-3.2704266835908857
2024-10-31,0.07731235946779628,0.06936012579912972,1.1146513732067993,-3.2704266835908857
2024-11-01,0.0739965858395407,0.06939484554917294,1.0663124221107603,-3.2704266835908857
2024-11-04,0.09053592274325852,0.06879884369998694,1.3159512264197502,-2.6829415536594388
2024-11-05,0.09379203510212675,0.06911611438296231,1.357021237948053,-2.6829415536594388
2024-11-06,0.16491939741950365,0.07651270676672225,2.155451092879545,-2.47003555559551
2024-11-07,0.13257601681736766,0.07497627074874386,1.7682396776127842,-2.47003555559551
2024-11-08,0.12962475768512732,0.07495078165789658,1.7294650545044779,-2.47003555559551
2024-11-11,0.1245146171523352,0.07468509322637987,1.667195042187546,-2.47003555559551
2024-11-12,0.11432316714231955,0.07552729009765788,1.51366700691231,-2.47003555559551
2024-11-13,0.08482266709338453,0.07524478031991036,1.1272897167451732,-2.47003555559551
2024-11-14,0.08176504722669345,0.07542633764052194,1.084038411309077,-2.47003555559551
2024-11-15,0.01727903975707512,0.07225156044276079,0.2391510944703255,-2.47003555559551
2024-11-18,0.024969525989760058,0.0723626694831899,0.3450608741785095,-2.47003555559551
2024-11-19,0.03002889603911838,0.07230923075016318,0.4152844073652466,-2.47003555559551
2024-11-20,0.043584360883683226,0.07222068439631596,0.603488616149233,-2.47003555559551
2024-11-21,0.06401151282992967,0.07350654975834496,0.8708273349840182,-2.47003555559551
2024-11-22,0.0824227673993282,0.07466086063337793,1.1039621925075993,-2.47003555559551
2024-11-25,0.10923315201354526,0.07567789775997222,1.4433956973804998,-2.47003555559551
2024-11-26,0.1478425376349833,0.07168619584157868,2.062357137233292,-2.47003555559551
2024-11-27,0.15723587581951728,0.07164823082670058,2.1945535012557693,-2.47003555559551
2024-11-28,0.16730435743041952,0.0713846480132563,2.343702211704549,-2.47003555559551
2024-11-29,0.2028145377097326,0.06951473935508082,2.917576036267033,-2.402903455063848
2024-12-02,0.19826237643413896,0.06952102608659687,2.851833288351917,-2.402903455063848
2024-12-03,0.1784481244876142,0.07053916471753852,2.5297737108481204,-2.402903455063848
2024-12-04,0.17923957312209282,0.07053074762068531,2.5412969402514216,-1.975997934244122
2024-12-05,0.14885184221892694,0.07048446417348311,2.111839026718832,-1.796971362408585
2024-12-06,0.10156232481972687,0.06856355722238582,1.481287274671435,-1.796971362408585
2024-12-09,0.09836401634422635,0.06847568171280541,1.4364810087875566,-1.796971362408585
2024-12-10,0.08673089300058999,0.06855504389240814,1.2651278166593758,-1.796971362408585
2024-12-11,0.09648021671464092,0.06855652379186156,1.4073090550442149,-1.796971362408585
2024-12-12,0.05300565901004912,0.06834542708425413,0.7755553117651218,-1.796971362408585
2024-12-13,0.05909804857806971,0.0679856820071886,0.8692719824715571,-1.796971362408585
2024-12-16,0.042120812966543644,0.06813117122094794,0.6182311592728494,-1.8206537888177374
2024-12-17,0.01654156747930886,0.06851911543552923,0.24141536816646583,-2.208239152328085
2024-12-18,-0.03394503884313221,0.07625884541652989,-0.44512919986819355,-3.8665239335384314
2024-12-19,-0.06567959037256112,0.07534769603613714,-0.871686777802215,-4.042970418924507
2024-12-20,-0.06331488811933605,0.07546280676514268,-0.8390211129621286,-4.042970418924507
2024-12-23,-0.06130987391686238,0.07548469541603169,-0.8122159542269437,-4.042970418924507
2024-12-24,-0.02964747481443748,0.07576206829747495,-0.3913234614718879,-4.042970418924507
